BLUESY;BLUES
GRUNGY;GRUNGE
HARCORE;HARDCORE
HARD-ROCK;HARD
HARD ;HARD
HARD’N;HARD
HAR ;HARD
& ROLL;'N'ROLL
’N ROLL;'N'ROLL
’N’ROLL;'N'ROLL
N’ROLL;'N'ROLL
HEAVY-THRASH;HEAVY THRASH
TECHNO-DEATH;TECHNO DEATH
OCCULTO-ÉSOTÉRIQUE;OCCULTO ÉSOTÉRIQUE
OLD SCHOOL;OLD-SCHOOL
MELO-PROGRESSIF;MÉLODIQUE PROGRESSIF
POST-DEATH;POST DEATH
ROCKFM;ROCK FM
ROCKGLAM;GLAM ROCK
HARDGLAM;GLAM HARD
