CORÉE;CORÉE DU SUD
ECOSSE;ÉCOSSE
ILES FÉROÉ;ÎLES FÉROÉ
USA;ÉTATS-UNIS
TCHÉCOSLOVAQUIE;RÉPUBLIQUE TCHÈQUE
ETATS UNIS;ÉTATS-UNIS
ETATS-UNIS;ÉTATS-UNIS
GRÊCE;GRÈCE
ROYAUME UNI;ROYAUME-UNI
PAYS BAS;PAYS-BAS
RÉPUBLIQUE-TCHÈQUE;RÉPUBLIQUE TCHÈQUE
